Team,Player Name,Primary Shoe Brand,Primary Shoe Model,List of All Shoes
New York Knicks,Mitchell Robinson,Nike,Book 1 Sedona,"{('Nike', 'Kobe 6 Protro'), ('Nike', 'Kyrie 2'), ('Jordan', 'CP3.X'), ('Nike', 'LeBron XX'), ('Nike', 'PG 5'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'PG 3')}"
New York Knicks,Karl Anthony Towns,Nike,G.T. Jump 2,"{('Nike', 'Air Zoom GT Run'), ('Nike', 'Zoom Hyperfuse 2014'), ('Nike', 'Hyperdunk X'), ('Nike', 'Hyperdunk 2017'), ('Nike', 'Air Zoom BB NXT'), ('Nike', 'Hyperdunk 2016'), ('Nike', 'G.T. Jump 2')}"
New York Knicks,Tyler Kolek,Puma,All-Pro Nitro,set()
New York Knicks,Jacob Toppin,Nike,Kobe 6 Sail All-Star,"{('Nike', 'Kobe 5 Chaos'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6')}"
New York Knicks,Matt Ryan,Nike,PG 3,"{('Puma', 'Rise Nitro'), ('Under Armour', 'Fire Shot Low'), ('Judah', '1 Low Spotless'), ('Nike', 'Air Zoom G.T. Cut 2'), ('Nike', 'Kobe A.D.'), ('Judah', '1 Low'), ('Nike', 'Kobe 8'), ('Puma', 'Court Rider 2.0'), ('Judah', '1'), ('Nike', 'PG 1'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe 6')}"
New York Knicks,Landry Shamet,Nike,Sabrina 2,"{('Nike', 'Kobe AD Exodus'), ('Nike', 'Zoom Freak 1'), ('Nike', 'Sabrina 2 By You'), ('Nike', 'PG 1'), ('Nike', 'LeBron XXI'), ('Nike', 'KD 15'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe AD Mid'), ('Nike', 'Kobe 6 Protro'), ('Nike', 'Kobe 4 Protro'), ('Nike', 'KD 12'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Sabrina 1'), ('Nike', 'Air Zoom GT Cut'), ('Nike', 'Kobe 5'), ('Nike', 'Sabrina 2 Trust the Game'), ('Nike', 'Kobe 4 Protro Gift of Mamba'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'Sabrina 2')}"
New York Knicks,Mikal Bridges,Nike,PG 6,"{('Nike', 'Book 1'), ('Nike', 'PG 6'), ('Nike', 'Air Zoom G.T. Cut 3'), ('Nike', 'KD 12'), ('Nike', 'Kobe A.D.'), ('Nike', 'KD 11'), ('Nike', 'KD 13'), ('Nike', 'Sabrina 1'), ('Nike', 'Kobe 6')}"
New York Knicks,OG Anunoby,SKECHERS,SKX Nexus,"{('Nike', 'Kyrie 6'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Adidas', 'Crazy BYW 2.0'), ('Nike', 'Kyrie 5'), ('Nike', 'LeBron 19 Low'), ('Nike', 'LeBron 17'), ('Nike', 'LeBron NXXT Gen'), ('Nike', 'Kobe AD NXT FF'), ('Nike', 'KD 16'), ('Adidas', 'Exhibit A'), ('Nike', 'LeBron NXXT Gen AMPD'), ('Nike', 'G.T. Hustle 2'), ('Nike', 'Kyrie 4'), ('Nike', 'LeBron NXXT Gen AMPD USC'), ('Nike', 'LeBron 18 Low'), ('Nike', 'LeBron XXI'), ('SKECHERS', 'SKX Nexus')}"
New York Knicks,Delon Wright,Nike,Kobe 6 Italian Camo,"{('Nike', 'Kobe 7'), ('Nike', 'KD 15'), ('Nike', 'Kobe X Low'), ('Nike', 'Kobe 6'), ('Nike', 'Air Zoom Generation (LeBron 1)'), ('Nike', 'Kobe 8'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Under Armour', 'Curry Two'), ('Nike', 'Kyrie 6'), ('Nike', 'Kobe 5 Chaos'), ('Under Armour', 'Curry 5'), ('Nike', 'Kobe 5'), ('Nike', 'Kyrie Low 5'), ('Nike', 'Kobe XI Low'), ('Nike', 'PG 6'), ('Nike', 'Kyrie Infinity (Kyrie 8)'), ('Nike', 'Kyrie 7'), ('Nike', 'Ja 1'), ('Nike', 'Kobe 6 Italian Camo'), ('Under Armour', 'Curry 6'), ('Nike', 'Kyrie Flytrap 6'), ('Under Armour', 'Curry 3Zer0 II')}"
Philadelphia 76ers,Jared McCain,Jordan,Air  39,set()
Philadelphia 76ers,Jalen Hood-Schifino,Adidas,adizero Select 2.0,"{('Adidas', 'Gil Zero'), ('Adidas', 'Trae Young 3'), ('Adidas', 'Dame 8'), ('Adidas', 'adizero Select 2.0')}"
Philadelphia 76ers,Quentin Grimes,Nike,Kobe 5,"{('Nike', 'Kobe 6 Protro'), ('Adidas', 'Pro Bounce 2018 Low'), ('Nike', 'Kobe 5 Bruce Lee'), ('Jordan', 'Air  34'), ('Nike', 'Kobe 6 Italian Camo'), ('Nike', 'Kobe 6 Sail All-Star'), ('Nike', 'Kobe 5'), ('Nike', 'Kobe 6 Reverse Grinch'), ('Nike', 'Kobe 6'), ('Nike', 'Kobe XI Low')}"
Philadelphia 76ers,Jeff Dowtin Jr.,Nike,Kyrie 6,"{('Nike', 'Kyrie 6'), ('Nike', 'Ja 1')}"
Philadelphia 76ers,Ricky Council IV,Anta,KAI 1,"{('Anta', 'KAI 1 Mothers Day'), ('Nike', 'Book 1'), ('New Balance', 'Two WXY 4'), ('Nike', 'KD 4'), ('Anta', 'Shock Wave 5 Pro'), ('Anta', 'KAI 1'), ('Anta', 'KAI 1 Triple White'), ('Nike', 'KD 16'), ('Nike', 'Kobe 6'), ('Jordan', 'Luka 1'), ('Anta', 'Shock Wave 5 Pro Sun'), ('Nike', 'KD 15'), ('Anta', 'KAI 1 Yin Triple Black'), ('Anta', 'GH5')}"
