Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM▼,VORP,Awards,Player-additional
122,Ayo Dosunmu,24,CHI,SG,76,37,2212,13.4,.604,.410,.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,2.6,1.5,4.1,.089,-0.6,-0.2,-0.8,0.7,,dosunay01
123,Norman Powell,30,LAC,SG,76,3,1990,13.9,.626,.500,.224,0.9,9.8,5.5,5.9,1.1,1.0,7.3,20.0,2.8,1.3,4.1,.099,0.4,-1.2,-0.8,0.6,6MOY-4,powelno01
124,Kevin Huerter,25,SAC,SG,64,59,1562,12.4,.564,.609,.084,2.7,13.6,8.0,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,.089,-0.5,-0.4,-0.8,0.5,,huertke01
125,Bobby Portis,28,MIL,PF,82,4,2008,17.5,.581,.268,.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,2.1,2.6,4.7,.112,0.0,-0.8,-0.8,0.6,6MOY-3,portibo01
126,Keegan Murray,23,SAC,SF,77,77,2588,13.3,.569,.524,.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,.096,-0.4,-0.5,-0.9,0.8,,murrake02
127,Duncan Robinson,29,MIA,SF,68,36,1905,12.2,.612,.701,.133,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19.0,1.6,2.0,3.6,.091,-0.5,-0.4,-0.9,0.6,,robindu01
128,Deni Avdija,23,WAS,SF,75,75,2257,14.9,.597,.293,.340,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,.068,-0.7,-0.2,-0.9,0.6,,avdijde01
129,Rui Hachimura,25,LAL,PF,68,39,1826,15.0,.628,.343,.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,2.7,1.5,4.1,.108,0.0,-0.9,-0.9,0.5,,hachiru01
130,John Collins,26,UTA,PF,68,66,1901,17.5,.621,.311,.248,9.2,24.0,16.7,6.1,1.0,2.9,10.6,20.4,3.1,1.3,4.4,.110,0.5,-1.4,-0.9,0.5,,collijo01
131,Kyle Lowry,37,2TM,PG,60,55,1690,10.9,.594,.663,.199,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,1.6,1.9,3.5,.100,-1.9,0.9,-1.0,0.4,,lowryky01
132,Darius Garland,24,CLE,PG,57,57,1901,14.5,.560,.423,.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,0.7,2.0,2.7,.067,0.2,-1.2,-1.0,0.5,,garlada01
133,Simone Fontecchio,28,2TM,SF,66,43,1644,12.1,.600,.609,.120,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,1.5,0.6,2.1,.061,0.0,-1.0,-1.0,0.4,,fontesi01
134,Isaac Okoro,23,CLE,SF,69,42,1887,11.4,.599,.448,.285,4.0,8.2,6.1,9.5,1.5,1.6,9.1,13.9,2.1,2.0,4.2,.106,-1.8,0.7,-1.1,0.4,,okorois01
135,Miles Bridges,25,CHO,SF,69,67,2581,15.4,.556,.372,.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,.040,0.2,-1.3,-1.1,0.6,,bridgmi02
136,Kyle Kuzma,28,WAS,PF,70,70,2281,15.7,.547,.343,.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1.0,1.1,0.2,.004,0.5,-1.6,-1.1,0.5,,kuzmaky01
137,Cam Thomas,22,BRK,SG,66,51,2075,16.1,.554,.333,.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,1.3,1.2,2.5,.058,0.7,-1.9,-1.2,0.4,,thomaca02
138,Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,10.7,.602,.525,.193,1.5,6.8,4.2,9.5,2.0,1.5,10.5,12.9,2.2,2.6,4.8,.096,-2.1,0.7,-1.4,0.4,,caldwke01
139,Precious Achiuwa,24,2TM,PF,74,18,1624,14.6,.545,.207,.239,13.0,20.5,16.7,8.4,1.4,3.9,13.8,15.9,1.2,2.2,3.4,.102,-1.7,0.3,-1.4,0.2,,achiupr01
140,Terance Mann,27,LAC,SG,75,71,1873,12.0,.615,.414,.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,3.0,1.2,4.2,.106,-0.8,-0.7,-1.5,0.2,,mannte01
141,Derrick Jones Jr.,26,DAL,SF,76,66,1783,11.7,.592,.483,.275,5.0,10.3,7.7,5.5,1.4,2.5,10.5,14.9,1.5,1.6,3.1,.083,-1.3,-0.3,-1.5,0.2,,jonesde02
142,Pat Connaughton,31,MIL,SF,76,3,1676,9.6,.574,.686,.167,3.4,12.0,7.8,12.0,1.1,1.0,11.6,10.9,1.6,1.2,2.8,.080,-1.6,0.0,-1.6,0.2,,connapa01
143,Luguentz Dort,24,OKC,SF,79,79,2246,11.1,.593,.603,.236,3.8,10.0,7.0,6.3,1.5,1.9,9.3,15.4,2.0,2.5,4.6,.097,-1.4,-0.2,-1.6,0.2,,dortlu01
144,Keldon Johnson,24,SAS,SF,69,27,2038,14.2,.565,.426,.256,5.0,15.1,10.0,14.2,1.2,0.8,9.4,21.9,1.5,1.5,3.0,.071,-0.3,-1.4,-1.7,0.2,,johnske04
145,Eric Gordon,35,PHO,SG,68,24,1893,10.8,.580,.642,.104,1.0,6.0,3.6,10.0,1.7,1.4,10.2,16.5,1.0,1.5,2.5,.063,-1.3,-0.5,-1.7,0.1,,gordoer01
146,Malik Beasley,27,MIL,SG,79,77,2337,10.3,.603,.751,.048,2.0,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,.073,-1.0,-0.8,-1.8,0.1,,beaslma01
147,Dennis Schröder,30,2TM,PG,80,58,2486,13.3,.550,.397,.230,1.7,9.2,5.3,28.0,1.2,0.6,13.0,20.3,2.3,1.0,3.3,.063,-0.5,-1.3,-1.8,0.1,,schrode01
148,Harrison Barnes,31,SAC,PF,82,82,2381,11.9,.611,.526,.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,.094,-0.6,-1.2,-1.8,0.1,,barneha02
149,Saddiq Bey,24,ATL,SF,63,51,2062,13.1,.549,.514,.291,8.5,13.4,10.9,6.0,1.2,0.5,6.4,17.0,2.8,0.7,3.5,.081,0.1,-2.0,-1.8,0.1,,beysa01
150,Christian Braun,22,DEN,SG,82,4,1655,12.1,.554,.340,.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,1.5,2.0,3.4,.100,-1.7,-0.2,-1.9,0.0,,braunch01
151,Jaime Jaquez Jr.,22,MIA,SF,75,20,2113,12.9,.574,.290,.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4.0,.092,-2.2,0.3,-1.9,0.1,ROY-46MOY-9,jaqueja01
152,Spencer Dinwiddie,30,2TM,PG,76,52,2152,11.7,.543,.575,.328,1.5,9.0,5.2,22.7,1.2,0.9,11.1,16.6,2.3,1.3,3.6,.081,-1.3,-0.6,-1.9,0.1,,dinwisp01
153,Zach Collins,26,SAS,C,69,29,1526,14.3,.565,.294,.263,8.3,18.0,13.1,18.9,1.1,2.8,16.1,22.7,0.4,1.5,1.8,.057,-2.0,-0.1,-2.0,0.0,,colliza01
154,Dorian Finney-Smith,30,BRK,PF,68,56,1934,10.1,.546,.658,.090,6.0,12.1,9.0,7.6,1.4,1.8,10.0,13.2,1.0,1.6,2.6,.065,-2.0,-0.1,-2.0,0.0,,finnedo01
155,Caleb Martin,28,MIA,SF,64,23,1756,10.8,.531,.415,.177,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,0.2,2.2,2.4,.066,-2.2,0.2,-2.0,0.0,,martica02
156,P.J. Washington,25,2TM,PF,73,45,2221,12.2,.537,.509,.179,4.2,16.5,10.3,9.3,1.6,2.4,9.9,19.1,0.0,1.9,1.9,.040,-1.7,-0.4,-2.1,-0.1,,washipj01
